id,name,category,body_parts,primary_muscles,secondary_muscles,thumbnail_url,yt_video_id,instructions,key_cues,alternatives,equipment
39,Bulgarian Split Squat,Strength,Upper Legs,"Quadriceps,Gluteus Maximus","Hamstrings,Core",placeholder.webp,,Stand a few feet in front of a bench and place one foot behind you on it. Lower your body by bending the front knee until the thigh is near parallel to the floor. Push through the front heel to stand.,"Front knee over ankle,Chest upright,Drive through heel",,"Bench / Box, Dumbbells"
40,Leg Extension,Strength,Upper Legs,Quadriceps,"Patellar Tendon,Core",placeholder.webp,,"Sit on the leg extension machine with knees aligned with the pivot. Extend the legs until straight, squeezing the quadriceps. Lower the weight slowly back down.","Control movement,Pause at top,No swinging",,Leg Extension Machine
41,Ring Row,Strength,Back,"Rhomboids,Latissimus Dorsi","Biceps,Posterior Deltoids,Core",placeholder.webp,,Grab the rings and lean back with arms extended. Pull your chest toward the rings by bending the elbows and retracting the shoulder blades. Lower yourself back under control.,"Body straight,Pull chest to rings,Squeeze shoulder blades",,Gymnastic Rings
42,Dumbbell Bench Press,Strength,"Chest,Arms,Shoulders",Pectoralis Major,"Triceps,Anterior Deltoids",placeholder.webp,,Lie on a flat bench holding dumbbells above your chest. Lower them until elbows reach about 90°. Press the dumbbells back up until arms are extended.,"Control descent,Wrists neutral,Feet planted",,"Dumbbells, Bench"
43,Ring Dips,Strength,Chest,"Pectoralis Major,Triceps","Anterior Deltoids,Core",placeholder.webp,,Support yourself on rings with arms locked out. Lower your body by bending the elbows until shoulders drop below elbows. Push back up to the starting position.,"Rings close to body,Control descent,Chest forward",,Gymnastic Rings
44,Dead Curl,Strength,Arms,Biceps Brachii,"Brachialis,Forearms",placeholder.webp,,Stand holding a barbell against your thighs. Curl the bar upward without swinging the body. Lower the bar slowly back to the start.,"No body swing,Elbows tight,Slow lowering",,Dumbbells
45,Trunk Rotation,Strength,Core,Obliques,"Rectus Abdominis,Erector Spinae",placeholder.webp,,Stand holding a cable or band with arms extended. Rotate your torso away from the anchor point while keeping hips stable. Return slowly to the start.,"Rotate torso not hips,Core tight,Controlled movement",,Cable Machine / Resistance Band
46,Dumbbell Seal Row,Strength,Back,"Rhomboids,Middle Trapezius","Posterior Deltoids,Biceps",placeholder.webp,,Lie face down on a bench with arms hanging down holding dumbbells. Pull the weights toward your ribs while squeezing shoulder blades together. Lower under control.,"Chest supported,Squeeze scapulae,Slow lowering",,"Dumbbells, Bench"
47,Pallof Press,Strength,Core,"Obliques,Transverse Abdominis","Deltoids,Glutes",placeholder.webp,,Stand sideways to a cable or band and hold the handle at chest height. Press the handle straight out while resisting torso rotation. Return slowly.,"Brace core,Don't rotate,Slow control",,Cable Machine / Resistance Band
48,Stability Ball - Plank w/ back-and-forth motion,Strength,Core,"Rectus Abdominis,Transverse Abdominis","Shoulders,Glutes",placeholder.webp,,Place forearms on a stability ball and extend legs behind you. Roll the ball slightly forward and backward while maintaining a strong plank position.,"Body straight,Core tight,Control movement",,Stability Ball
49,Dumbbell Fly on Flat Bench,Strength,Chest,Pectoralis Major,"Anterior Deltoids,Biceps",placeholder.webp,,Lie on a bench holding dumbbells above your chest. Lower the arms out to the sides with a slight elbow bend until you feel a chest stretch. Bring the weights back together above the chest.,"Soft elbows,Stretch chest,Control movement",,"Dumbbells, Bench"
50,Dumbbell Shoulder Press,Strength,Shoulders,Deltoids,"Triceps,Upper Chest",placeholder.webp,,Hold dumbbells at shoulder height. Press them overhead until arms are straight. Lower the dumbbells back to shoulder level.,"Core tight,Avoid arching back,Smooth press",,Dumbbells
51,Military Press,Strength,Shoulders,Deltoids,"Triceps,Upper Chest,Core",placeholder.webp,,Hold a barbell at shoulder height with hands just outside shoulders. Press the bar overhead until arms are fully extended. Lower it back down under control.,"Brace core,Bar over midfoot,Full lockout",,Barbell
52,Plank Dumbbell Drag,Strength,Core,Rectus Abdominis,"Obliques,Shoulders",placeholder.webp,,Start in a plank with a dumbbell beside one hand. Drag the dumbbell across your body to the other side using the opposite hand. Alternate sides.,"Minimize hip rotation,Core tight,Slow drag",,Dumbbell
53,Ab Wheel Rollout,Strength,Core,Rectus Abdominis,"Shoulders,Latissimus Dorsi",placeholder.webp,,Kneel with hands on an ab wheel. Roll the wheel forward while keeping hips extended and core tight. Pull it back to the starting position.,"Avoid arching back,Control rollout,Engage core",,Ab Wheel
54,Wall Balls,Strength,"Upper Legs,Shoulders,Core","Quadriceps,Gluteus Maximus","Shoulders,Core",placeholder.webp,,Hold a medicine ball at chest height. Perform a squat and then explosively stand while throwing the ball toward a wall target. Catch and repeat.,"Explosive drive,Full squat,Soft catch",,Wall Ball
55,Sit-Ups,Strength,Core,Rectus Abdominis,"Hip Flexors,Obliques",placeholder.webp,,Lie on your back with knees bent and feet on the floor. Curl your torso upward until your chest approaches your thighs. Lower slowly back down.,"Avoid pulling neck,Control descent,Engage core",,
56,Hip Thrust,Strength,Upper Legs,Gluteus Maximus,"Hamstrings,Quadriceps,Core",placeholder.webp,,Rest your upper back on a bench with a barbell or weight over your hips. Lower the hips toward the floor then drive them upward until the torso is parallel to the ground.,"Drive through heels,Squeeze glutes,Chin tucked",,"Barbell, Bench"
57,Farmer's Walk,"Strength,Conditioning",Full Body,"Forearms,Trapezius","Core,Shoulders",placeholder.webp,,Hold heavy dumbbells or kettlebells at your sides and walk forward while maintaining upright posture.,"Shoulders back,Core tight,Steady steps",,Dumbbells / Kettlebells
58,Barbell Back Squat,Strength,Upper Legs,"Quadriceps,Gluteus Maximus","Hamstrings,Core,Erector Spinae",placeholder.webp,,Place a barbell across your upper back. Squat down by bending hips and knees until thighs are parallel to the floor. Stand back up by driving through the heels.,"Chest up,Knees out,Brace core",,"Barbell, Squat Rack"
59,Sissy Squat,Strength,Upper Legs,Quadriceps,"Gluteus Maximus,Core",placeholder.webp,,Stand upright and rise onto your toes. Bend knees forward while keeping torso upright and hips extended. Push back up to standing.,"Stay upright,Knees forward,Controlled motion",,Sissy Squat Bench / Support
60,Unilateral Box Squat,Strength,Upper Legs,"Quadriceps,Gluteus Maximus","Hamstrings,Core",placeholder.webp,,Stand on one leg in front of a box or bench. Lower into a squat until you lightly touch the box. Stand back up using the working leg.,"Control descent,Knee over toes,Balance steady",,Box / Bench
61,Reverse Crunch with Leg Extension,Strength,Core,"Rectus Abdominis, Lower Abs","Hip Flexors, Obliques, Transverse Abdominis",placeholder.webp,,"Lie on your back on a bench or the floor with your hips and knees bent at 90°.
Place your hands beside you or hold the bench for stability.
Engage your core and lift your hips off the surface in a reverse crunch motion.
At the top of the movement, extend your legs diagonally away from your body while keeping your core tight.
Slowly bend the knees again and lower your hips back to the starting position under control.","Keep the movement controlled, Avoid swinging the legs, Lift the hips using your abs rather than momentum, Maintain lower-back contact with the bench during the lowering phase, Exhale during the crunch, Keep your core braced throughout the movement",,Bench
62,Ring Fall Out,Strength,Core,Rectus Abdominis,"Obliques, Transverse Abdominis, Latissimus Dorsi, Shoulders",placeholder.webp,,"Adjust gymnastic rings to about waist height.
Kneel on the floor and hold the rings with arms extended in front of you.
Keeping your body in a straight line and core tight, slowly lean forward allowing the rings to move ahead of you.
Lower until you feel strong core tension, then engage the abs to pull the body back to the starting position.","Keep the body in a straight line, Avoid arching the lower back, Move slowly and under control, Brace the core throughout the movement, Pull back using the abs\, not the arms.",,Gymnastic Rings
63,Skater Squat,Strength,Upper Legs,Quadriceps,"Glutes, Hamstrings, Core",placeholder.webp,,"Stand on one leg with the other leg bent behind you.
Slowly bend the standing knee and lower your body while reaching the back knee toward the floor.
Keep your torso upright and balance on the working leg.
Push through the heel to return to the starting position.","Keep the knee tracking over the toes, Stay balanced on the working leg, Control the descent, Keep the torso upright.",,
64,Kettlebell Staggered Stance Deadlift,Strength,Upper Legs,Glutes,"Hamstrings, Erector Spinae, Core",placeholder.webp,,"Stand holding a kettlebell with feet in a staggered stance, one foot slightly behind the other.
Most of the weight should be on the front leg.
Hinge at the hips while keeping the back flat and lower the kettlebell toward the floor.
Drive through the front heel and extend the hips to stand back up.","Hinge at the hips\, not the spine, Keep the back neutral, Load the front leg, Drive through the heel and squeeze the glutes at the top.",,Kettlebell
65,Dumbbell Skullcrusher,Strength,Arms,Triceps,Shoulders,placeholder.webp,N5ImCU0mcpo,"Lie on a bench holding dumbbells with arms extended above your chest.
Keeping the upper arms mostly vertical, bend the elbows and lower the dumbbells toward the sides of your head.
Extend the elbows to return to the starting position.","Keep the upper arms still, Control the lowering phase, Fully extend the elbows at the top, Avoid flaring the elbows too wide.",,"Dumbbells, Bench"
66,Quadriceps Stretch,Stretching,Upper Legs,Quadriceps,Hip Flexors,placeholder.webp,,"Stand upright with feet hip-width apart.
Bend one knee and bring your heel toward your glutes.
Grasp your ankle with the hand on the same side.
Keep your knees close together and your torso upright.
Gently pull the heel closer to your glutes until you feel a stretch in the front of the thigh.
Hold the stretch for the desired duration.
Slowly release and repeat on the other leg.","Keep knees aligned and close together, Maintain an upright torso, Engage the core to avoid arching the lower back, Push the hip slightly forward for a deeper stretch.",,
67,Rowing,"Strength,Conditioning","Back, Legs, Core","Latissimus Dorsi, Quadriceps","Glutes, Hamstrings, Trapezius, Rhomboids, Biceps, Erector Spinae, Abdominals, Deltoids",placeholder.webp,,"Sit on the rowing machine and secure your feet in the foot straps.
Grab the handle with both hands using an overhand grip.
Start in the catch position: knees bent, shins vertical, torso slightly forward, arms straight.
Drive phase: push through the legs first while keeping the arms straight.
When the legs are nearly extended, lean the torso slightly back and pull the handle toward the lower ribs.
Finish position: legs extended, handle near the torso, elbows pulled behind the body.
Recovery phase: extend the arms, hinge the torso forward, then bend the knees to slide back to the catch position.
Repeat in a smooth and controlled rhythm.","Push with the legs first, Arms stay straight during the drive start, Keep chest tall, Neutral spine, Pull handle to lower ribs, Control the recovery",,Rowing Machine
